Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
2450000,1.2185397,0.7068073801001008,123.4,6.0,0.034876704,0.042570084,0.7068073004484177,0.15109077871311455,0.009402001,0.09646087,0.00022664946,0.02680653,0.29873577
2460000,1.2399583,1.0506185892038047,122.8,6.0,0.1584104,0.050925393,1.050618553161621,0.11986957602202893,0.022582214,0.101003215,0.0002263387,0.02213662,0.3123996
2470000,1.2557245,1.6758433749782853,134.625,6.0,0.14556012,0.037942454,1.6758432649075985,0.0699414147529751,0.009789557,0.09450903,0.00022605446,0.01694769,0.30185938
2480000,1.2346721,-0.500577429542318,180.28571428571428,6.0,0.0439843,0.0309953,-0.5005775306906018,0.18351962683456285,0.0060705114,0.09772199,0.00022576784,0.019841757,0.29392403
2490000,1.238112,1.0492987617151812,136.9,6.0,0.09652663,0.041026216,1.0492986977100371,0.1238995170686394,0.008211102,0.10162189,0.00022545399,0.019918036,0.29395068
2500000,1.2514988,0.997435586003121,140.875,6.0,0.09203741,0.040170293,0.9974355027079582,0.11401016358286142,0.019933017,0.1015781,0.00022513405,0.021611806,0.30720082
2510000,1.234052,1.3158608311787248,150.25,6.0,0.12669764,0.03769091,1.3158607594668865,0.10335917258635163,0.026869189,0.09715919,0.00022484719,0.018133592,0.25695843
2520000,1.2404792,1.5346687859364752,523.2727272727273,6.0,0.21645342,0.042326014,1.5346687492724316,0.3364233759295365,0.018835476,0.10167186,0.00022456571,0.02153914,0.28680724
2530000,1.2200843,1.0462730777494618,858.3333333333334,6.0,0.21448994,0.053391404,1.0462730304545478,0.4690455598756671,0.012949427,0.095435485,0.00022425172,0.03436009,0.29081383
2540000,1.2876548,2.3396122952563356,565.0,6.0,0.30320975,0.06477869,2.339612235140521,0.3169641204876825,0.03254776,0.09600821,0.00022393893,0.027316699,0.32242444
